nombre,precio,ingredientes,url_producto,imagen_url
La Roche-Posay Hyalu B5 Sérum 30ml,"37,55€",AQUA/WATER. GLYCERIN. ALCOHOL DENAT. PROPYLENE GLYCOL. PANTHENOL. PENTYLENE GLYCOL. DIMETHICONE. PEG-6 CAPRYLIC/CAPRIC GLYCERIDES. PPG-6-DECYLTETRADECETH-30. GLYCERYL ISOSTEARATE. MADECASSOSIDE. SODIUM HYALURONATE. AMMONIUM POLYACRYLOYLDIMETHYL TAURATE. DISODIUM EDTA. HYDROLYZED HYALURONIC ACID. CAPRYLYL GLYCOL. CITRIC ACID. XANTHAN GUM. BUTYLENE GLYCOL. TOCOPHEROL. PHENOXYETHANOL. PARFUM/FRAGRANCE.,https://www.promofarma.com/es/la-roche-posay-hyalu-b5-serum-30ml/p-83163,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/ZP2GF_es_ES_0.jpeg
Bioderma Sensibio H20 Agua Micelar 2x500ml,"20,89€",AQUA/WATER/EAU. PEG-6 CAPRYLIC/CAPRIC GLYCERIDES. FRUCTOOLIGOSACCHARIDES,https://www.promofarma.com/es/bioderma-sensibio-h20-agua-micelar-2x500ml/p-173931,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/60T03_es_ES_0.png
Endocare Tensage Crema 50ml,"34,99€","AQUA, C12-20 ACID PEG-8 ESTER, SNAIL SECRETION FILTRATE, GLYCERIN, HYDROLYZED SOY PROTEIN, PENTYLENE GLYCOL, HEXYLENE GLYCOL, SACCHARIDE ISOMERATE, LIMNANTHES ALBA SEED OIL, CAPRYLIC/CAPRIC TRIGLYCERIDE, CETYL ALCOHOL, PPG-15 STEARYL ETHER, MALTODEXTRIN, TOCOPHERYL ACETATE, FRUCTOSE, GLUCOSE, PHENOXYETHANOL, XANTHAN GUM, UREA, SODIUM LACTATE, LACTIC ACID, SERINE, SORBITOL, METHYLPARABEN, DEXTRIN, SUCROSE, SODIUM CITRATE, SODIUM CHLORIDE, DISODIUM EDTA, PROPYLPARABEN, ALLANTOIN, ALANINE, ASPARTIC ACID, GLUTAMIC ACID, CITRIC ACID, HEXYL NICOTINATE, PARFUM, GERANIOL.",https://www.promofarma.com/es/endocare-tensage-crema-50ml/p-10766,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/RAVC2_es_ES_0.jpg
Retincare Hiperpigmentaciones Xerosis Foto/Crono Envejecimiento 30ml,"33,89€","ÁCIDO RETINOICO, ÁCIDO GLICÓLICO, PROPYLENE GLYCOL, PEG-7 GLYCERIL COCOATE, AMINOMETHYL PROPANOL, HYDROXYETHYLCELLULOSE, POLYVINYL ALCOHOL, IMIDAZOLIDINYL UREA, DISODIUM EDTA, BHT, AQUA.",https://www.promofarma.com/es/retincare-hiperpigmentaciones-xerosis-foto-crono-envejecimiento-30ml/p-25859,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/B32NJ_es_ES_0.jpeg
La Roche Posay Mela B3 Sérum 30ml,"37,85€","AGUA / AGUA / EAU,  DIMETICONA,  NIACINAMIDA,  GLICERINA,  PROPILENGLICOL,  POLISILICONA-11,  SÍLICE,  BIS-PEG/PPG-16/16 PEG/PPG-16/16 DIMETICONA,  EXTRACTO DE CYSTOSEIRA TAMARISCIFOLIA,  2-MERCAPTONICOTINOIL GLICINA,  PEG- 20 SESQUIESTEARATO DE GLUCOSA DE METILO,  HIALURONATO DE SODIO,  HIDRÓXIDO DE SODIO,  TIOSULFATO DE SODIO,  CARNOSINA,  POLOXÁMERO 338,  TAURATO DE POLIACRILOILDIMETILO DE AMONIO,  GLICIRRIZATO DE DIPOTASIO,  TRIGLICÉRIDO CAPRÍLICO/CÁPRICA,  ÁCIDO CAPRILOIL SALICÍLICO,  CAPRILGLICOL,  CÍTRICO ÁCIDO,  DISUCCINATO DE ETILENDIAMINA TRISODIO,  GOMA XANTANO,  PENTILENGLICOL,  OCTILDODECANOL,  PALMITATO DE RETINILO,  TOCOFEROL,  HIDROXIHIDROCINAMATO DE PENTAERITRITIL TETRA-DI-T-BUTILO,  FENOXIETANOL,  CI 17200 / ROJO 33,  PERFUME / FRAGANCIA.",https://www.promofarma.com/es/la-roche-posay-mela-b3-serum-30ml/p-619295,https://statics.promofarma.com/static/promofarma/prod/product_images/z/V15GI8_es_ES_0.png
Avène Cleanance Gel Limpiador 400ml,"14,29€","AVENE THERMAL SPRING WATER (AVENE AQUA), WATER (AQUA), SODIUM LAUROYL METHYL ISETHIONATE, ZINC COCETH SULFATE, POLYSORBATE 20, SODIUM COCOAMPHOACETATE, CETEARETH-60 MYRISTYL GLYCOL, PEG-40 HYDROGENATED CASTOR OIL, CITRIC ACID, DISODIUM EDTA, FRAGRANCE (PARFUM), GLYCERYL LAURATE, GREEN 5 (CI 61570), SODIUM BENZOATE, SODIUM HYDROXIDE, YELLOW 5 (CI 19140), ZINC GLUCONATE.",https://www.promofarma.com/es/avene-cleanance-gel-limpiador-400ml/p-70840,https://statics.promofarma.com/static/promofarma/prod/product_images/z/FX8YP_es_ES_0.jpg
Biretix Tri-Active Spray Anti-Imperfecciones 100ml,"21,39€","AQUA, ALCOHOL DENAT, GLYCOLIC ACID, NIACINAMIDE, PROPYLENE GLYCOL, SALICYLIC ACID, AMMONIUM HYDROXIDE, HEPTYL GLUCOSIDE, RETINOL, HYDROXYPINACOLONE RETINOATE, OLIGOPEPTIDE-10, ORYZA SATIVA BRAN EXTRACT, BOSWELLIA SERRATA EXTRACT, HONEY EXTRACT, BUTYLENE GLYCOL, ETHYLHEXYLGLYCERIN, TETRASODIUM EDTA, PENTYLENE GLYCOL, PALMITOYL HYDROXYPROPYLTRIMONIUM AMYLOPECTIN/GLYCERIN CROSSPOLYMER, DIMETHYL ISOSORBIDE, 1,2-HEXANEDIOL, POLYSORBATE 20, CAPRYLYL GLYCOL, HYDROGENATED LECITHIN, BHT, BHA.",https://www.promofarma.com/es/biretix-tri-active-spray-anti-imperfecciones-100ml/p-261501,https://statics.promofarma.com/static/promofarma/prod/product_images/z/V9RSZ_es_ES_0.jpeg
Bioderma Sensibio Gel Limpiador 500ml,"14,41€","AQUA/WATER/EAU, SODIUM COCOAMPHOACETATE, PROPANEDIOL, SODIUM LAUROYL SARCOSINATE, CITRIC ACID, COCO-GLUCOSIDE, GLYCERYL OLEATE, SODIUM CITRATE, PEG-90 GLYCERYL ISOSTEARATE, DAF (DERMATOLOGICAL ADVANCED FORMULATION), LAURETH-2, FRUCTOOLIGOSACCHARIDES, TOCOPHEROL, HYDROGENATED PALM GLYCERIDES CITRATE, LECITHIN, ASCORBYL PALMITATE.",https://www.promofarma.com/es/bioderma-sensibio-gel-limpiador-500ml/p-225358,https://statics.promofarma.com/static/promofarma/prod/product_images/mr/C6MD6_es_ES_0.jpg
Biretix Tri-Active Gel Anti-Imperfecciones 50ml,"19,89€","RetinSphere® Technology (hidroxipinacolona retinoato, glicosferas de retinol), BIOPEP, Ácido salicílico, Ácido glicólico, Niacinamida.",https://www.promofarma.com/es/biretix-tri-active-gel-anti-imperfecciones-50ml/p-156638,https://statics.promofarma.com/static/promofarma/prod/product_images/z/DFILW_pt_PT_0.jpeg
CeraVe® Loción Hidratante de Rostro SPF50 52ml,"17,09€","AQUA/WATER, HOMOSALATE, GLYCERIN, OCTOCRYLENE, ETHYLHEXYL SALICYLATE, NIACINAMIDE, SILICA, BUTYL METHOXYDIBENZOYLMETHANE, DIMETHICONE, CETEARYL ALCOHOL, PEG-100 STEARATE, GLYCERYL STEARATE, PHENOXYETHANOL, STEARIC ACID, BEHENTRIMONIUM METHOSULFATE, CAPRYLYL GLYCOL, PALMITIC ACID, AMMONIUM POLYACRYLOYLDIMETHYL TAURATE, XANTHAN GUM, DISODIUM EDTA, TOCOPHEROL, SODIUM LAUROYL LACTYLATE, MYRISTIC ACID, SODIUM HYALURONATE, CERAMIDE NP, CERAMIDE AP, PHYTOSPHINGOSINE, CHOLESTEROL, CARBOMER, ETHYLHEXYLGLYCERIN, CERAMIDE EOP.",https://www.promofarma.com/es/cerave-locion-hidratante-de-rostro-spf50-52ml/p-648239,https://statics.promofarma.com/static/promofarma/prod/product_images/z/QBNLX7_es_ES_0.png
